Gender,Ethnicity,EEO4 Description,EEOP Job Group Description,Department  ,EEO Function,Age,Employment Status
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,PROBATION,Corrections,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,PROCUREMENT,Financial Administration,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,PROCUREMENT,Financial Administration,20 - 29,Unclassified Extra Help
Male,Not Applicable,Professionals,Professionals,PUBLIC DEFENDER,Financial Administration,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,PUBLIC HEALTH,Health,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Officials and Adminstrators,PUBLIC HEALTH,Health,20 - 29,Classified Probationary
Male,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified Probationary
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Black/African American,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,White,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified Probationary
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Asian,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Hispanic/Latino,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Female,Black/African American,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Native Hawaiian/Oth Pac Island,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Female,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Black/African American,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Not Applicable,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified  Benefits
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Asian,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Two or More Races,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,White,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Male,Asian,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Two or More Races,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,White,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Not Applicable,Professionals,Professionals,REGISTRAR OF VOTERS,Other,30 - 39,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,White,Administrative Support,Service Maintenance,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Provisional
Female,Asian,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Not Applicable,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,White,Professionals,Officials and Adminstrators,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Black/African American,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Not Applicable,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Asian,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Two or More Races,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified Extra Help
Female,White,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,White,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Asian,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified  Benefits
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Male,White,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Not Applicable,No EEO-4 Reporting,Professionals,BOARD OF SUPERVISORS,Financial Administration,20 - 29,Unclassified  Benefits
Male,Not Applicable,No EEO-4 Reporting,Professionals,BOARD OF SUPERVISORS,Financial Administration,20 - 29,Unclassified Extra Help
Male,White,No EEO-4 Reporting,Professionals,BOARD OF SUPERVISORS,Financial Administration,20 - 29,Unclassified  Benefits
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,White,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,White,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,White,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Black/African American,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,White,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Service Maintenance,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Native Hawaiian/Oth Pac Island,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Paraprofessionals,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Paraprofessionals,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,White,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Paraprofessionals,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Not Applicable,Technicians,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Two or More Races,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Technicians,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Technicians,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,White,Technicians,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Technicians,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Technicians,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Not Applicable,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Exempt
Male,Two or More Races,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Exempt
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Exempt
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Exempt
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Benefits
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Benefits
Female,Not Applicable,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Benefits
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Benefits
Female,Hispanic/Latino,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Not Applicable,Professionals,Officials and Adminstrators,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Not Applicable,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Not Applicable,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Not Applicable,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified  Exempt
